Student_ID,Registration_No,Name,Gender,Intake,Degree_ID,Current_Year,Current_Semester,Current_SGPA,Previous_SGPA,FGPA,Attendance_Percentage,Attendance_Approved,Fee_Paid,Exam_Eligibility,Repeated_Courses,Student_Status,Academic_Risk
S0048,D/ICT/25/0058,Student_0048,Female,41,D005,2,4,3.1136,3.7826,3.594,68,Yes,Yes,Eligible,1,Not Completed,Low Risk
S0049,D/ICT/25/0059,Student_0049,Male,40,D005,3,5,3.36,3.5818,3.3933,84,No,No,Not Eligible,0,Completed,Low Risk
S0050,D/COE/25/0060,Student_0050,Female,42,D003,1,2,3.69,3.6048,3.6463,90,No,Yes,Eligible,0,Completed,Low Risk
S0051,D/BCS/25/0061,Student_0051,Male,41,D002,2,3,2.97,3.15,3.0695,77,No,Yes,Not Eligible,0,Completed,Low Risk
S0052,D/ICT/25/0062,Student_0052,Male,42,D005,1,2,3.895,3.3947,3.6513,88,No,Yes,Eligible,0,Completed,Low Risk
S0053,D/BSE/25/0063,Student_0053,Male,41,D001,2,3,2.94,3.0444,3.078,91,No,Yes,Eligible,0,Completed,Low Risk
S0054,D/DBA/25/0064,Student_0054,Male,40,D004,3,6,3.6381,3.3105,3.4124,64,Yes,Yes,Eligible,0,Completed,Low Risk
S0055,D/ICT/25/0065,Student_0055,Male,41,D005,2,3,3.7696,4.0,3.9145,82,No,Yes,Eligible,0,Completed,Low Risk
S0056,D/DBA/25/0066,Student_0056,Male,39,D004,4,7,2.8385,3.4857,3.1878,89,No,Yes,Eligible,0,Completed,Low Risk
S0057,D/BCS/25/0067,Student_0057,Female,40,D002,3,5,3.7692,3.8,3.6413,73,No,Yes,Not Eligible,0,Completed,Low Risk
S0058,D/BCS/25/0068,Student_0058,Male,42,D002,1,1,3.2429,0.0,3.2429,75,No,Yes,Not Eligible,0,Completed,Low Risk
S0059,D/COE/25/0069,Student_0059,Male,41,D003,2,4,3.7421,3.7474,3.738,93,No,No,Not Eligible,0,Completed,Low Risk
S0060,D/BSE/25/0070,Student_0060,Female,42,D001,1,1,3.8095,0.0,3.8095,91,No,Yes,Eligible,0,Completed,Low Risk
S0061,D/ICT/25/0071,Student_0061,Male,40,D005,3,5,3.755,3.9864,3.8663,83,No,Yes,Eligible,0,Completed,Low Risk
S0062,D/COE/25/0072,Student_0062,Male,39,D003,4,8,2.72,3.1429,3.1341,100,No,Yes,Eligible,0,Completed,Low Risk
S0063,D/COE/25/0073,Student_0063,Female,42,D003,1,1,2.9571,0.0,2.9571,92,No,Yes,Eligible,0,Completed,Medium Risk
S0064,D/DBA/25/0074,Student_0064,Male,41,D004,2,4,2.0643,2.1944,1.8092,73,Yes,Yes,Eligible,5,Not Completed,High Risk
S0065,D/DBA/25/0075,Student_0065,Male,40,D004,3,6,3.381,3.3579,3.4276,87,No,Yes,Eligible,0,Completed,Low Risk
S0066,D/ICT/25/0076,Student_0066,Male,39,D005,4,7,3.7875,4.0,3.8246,75,No,Yes,Not Eligible,0,Completed,Low Risk
S0067,D/ICT/25/0077,Student_0067,Female,42,D005,1,2,3.455,3.4158,3.4359,76,No,Yes,Not Eligible,0,Completed,Low Risk
S0068,D/DBA/25/0078,Student_0068,Female,42,D004,1,1,3.85,0.0,3.85,79,No,Yes,Not Eligible,0,Completed,Low Risk
S0069,D/BSE/25/0079,Student_0069,Male,41,D001,2,4,3.9684,3.97,3.9577,74,Yes,Yes,Eligible,0,Completed,Low Risk
S0070,D/BCS/25/0080,Student_0070,Male,40,D002,3,5,3.7231,3.2105,3.5894,67,No,Yes,Not Eligible,0,Completed,Low Risk
S0071,D/BSE/25/0081,Student_0071,Female,39,D001,4,8,3.06,3.6625,3.5881,81,No,Yes,Eligible,0,Completed,Low Risk
S0072,D/BSE/25/0082,Student_0072,Female,40,D001,3,6,3.728,3.7154,3.6047,77,No,Yes,Not Eligible,0,Completed,Low Risk
S0073,D/BSE/25/0083,Student_0073,Male,42,D001,1,1,3.1,0.0,3.1,90,No,Yes,Eligible,0,Completed,Low Risk
S0074,D/BSE/25/0084,Student_0074,Female,42,D001,1,1,3.8143,0.0,3.8143,91,No,Yes,Eligible,0,Completed,Low Risk
S0075,D/ICT/25/0085,Student_0075,Female,42,D005,1,1,3.4158,0.0,3.4158,73,Yes,Yes,Eligible,0,Completed,Low Risk
S0076,D/BCS/25/0086,Student_0076,Male,42,D002,1,1,2.9381,0.0,2.9381,84,No,Yes,Eligible,0,Completed,Medium Risk
S0077,D/BSE/25/0087,Student_0077,Female,42,D001,1,2,3.5722,3.9571,3.7795,86,No,No,Not Eligible,0,Completed,Low Risk
S0078,D/DBA/25/0088,Student_0078,Male,40,D004,3,5,3.6947,3.8571,3.8607,86,No,Yes,Eligible,0,Completed,Low Risk
S0079,D/BSE/25/0089,Student_0079,Male,42,D001,1,1,2.8333,0.0,2.8333,91,No,Yes,Eligible,0,Completed,Medium Risk
S0080,D/ICT/25/0090,Student_0080,Female,42,D005,1,2,2.705,2.8316,2.7667,78,No,Yes,Not Eligible,0,Completed,Medium Risk
S0081,D/COE/25/0091,Student_0081,Female,42,D003,1,2,2.665,2.2905,2.4732,76,No,Yes,Not Eligible,0,Completed,Medium Risk
S0082,D/DBA/25/0092,Student_0082,Male,40,D004,3,6,3.5143,3.5526,3.4724,85,No,Yes,Eligible,0,Completed,Low Risk
S0083,D/DBA/25/0093,Student_0083,Male,39,D004,4,8,4.0,3.7385,3.7743,88,No,Yes,Eligible,0,Completed,Low Risk
S0084,D/COE/25/0094,Student_0084,Male,42,D003,1,1,3.5762,0.0,3.5762,84,No,Yes,Eligible,0,Completed,Low Risk
S0085,D/BSE/25/0095,Student_0085,Female,42,D001,1,1,3.5952,0.0,3.5952,91,No,Yes,Eligible,0,Completed,Low Risk
S0086,D/BCS/25/0096,Student_0086,Male,41,D002,2,3,2.7,3.0111,2.8271,95,No,Yes,Eligible,0,Completed,Medium Risk
S0087,D/COE/25/0097,Student_0087,Male,40,D003,3,5,3.263,2.9474,3.0764,93,No,Yes,Eligible,0,Completed,Low Risk
S0088,D/COE/25/0098,Student_0088,Male,41,D003,2,4,3.6,3.3368,3.4671,67,Yes,Yes,Eligible,0,Completed,Low Risk
S0089,D/BSE/25/0099,Student_0089,Female,41,D001,2,3,4.0,3.8333,3.9288,89,No,Yes,Eligible,0,Completed,Low Risk
S0090,D/BSE/25/0100,Student_0090,Female,39,D001,4,7,3.5,3.712,3.6945,90,No,Yes,Eligible,0,Completed,Low Risk
S0091,D/BCS/25/0101,Student_0091,Male,41,D002,2,3,3.1,3.0667,3.1678,78,No,Yes,Not Eligible,0,Completed,Low Risk
S0092,D/COE/25/0102,Student_0092,Male,42,D003,1,1,2.6619,0.0,2.6619,86,No,Yes,Eligible,0,Completed,Medium Risk
S0093,D/DBA/25/0103,Student_0093,Female,41,D004,2,3,2.7111,2.9882,3.0235,82,No,Yes,Eligible,0,Completed,Low Risk
S0094,D/ICT/25/0104,Student_0094,Male,40,D005,3,6,3.7,3.625,3.5909,89,No,Yes,Eligible,0,Completed,Low Risk
S0095,D/BSE/25/0105,Student_0095,Male,40,D001,3,6,2.14,2.7308,2.538,88,No,Yes,Eligible,2,Not Completed,High Risk
S0096,D/BSE/25/0106,Student_0096,Male,41,D001,2,3,3.04,3.2222,3.1203,71,Yes,Yes,Eligible,0,Completed,Low Risk
S0097,D/BSE/25/0107,Student_0097,Male,39,D001,4,8,3.4,3.2,3.2237,84,No,Yes,Eligible,0,Completed,Low Risk
S0098,D/BSE/25/0108,Student_0098,Male,41,D001,2,3,3.06,2.7944,3.1136,69,Yes,Yes,Eligible,0,Completed,Low Risk
S0099,D/BSE/25/0109,Student_0099,Female,40,D001,3,5,3.4615,3.4842,3.5625,84,No,Yes,Eligible,0,Completed,Low Risk
S0100,D/BSE/25/0110,Student_0100,Female,39,D001,4,7,3.75,3.764,3.7469,77,No,Yes,Not Eligible,0,Completed,Low Risk
S0101,D/BCS/25/0111,Student_0101,Female,41,D002,2,3,2.68,2.8889,2.8525,91,No,Yes,Eligible,0,Completed,Medium Risk
S0102,D/DBA/25/0112,Student_0102,Male,42,D004,1,2,3.0706,3.4875,3.2727,77,Yes,Yes,Eligible,0,Completed,Low Risk
S0103,D/BSE/25/0113,Student_0103,Male,42,D001,1,2,3.7056,3.5286,3.6103,91,No,Yes,Eligible,0,Completed,Low Risk
S0104,D/BSE/25/0114,Student_0104,Male,42,D001,1,1,3.4143,0.0,3.4143,72,Yes,Yes,Eligible,0,Completed,Low Risk
S0105,D/BCS/25/0115,Student_0105,Female,40,D002,3,5,3.8231,3.8421,3.8538,89,No,Yes,Eligible,0,Completed,Low Risk
S0106,D/COE/25/0116,Student_0106,Male,42,D003,1,2,3.485,3.2952,3.3878,99,No,Yes,Eligible,0,Completed,Low Risk
S0107,D/COE/25/0117,Student_0107,Female,41,D003,2,4,3.1263,3.5,3.4329,75,No,Yes,Not Eligible,0,Completed,Low Risk
S0108,D/BSE/25/0118,Student_0108,Male,42,D001,1,2,3.2667,3.3238,3.2974,85,No,Yes,Eligible,0,Completed,Low Risk
S0109,D/BSE/25/0119,Student_0109,Female,41,D001,2,4,1.5737,1.74,1.7295,75,No,Yes,Not Eligible,6,Not Completed,High Risk
S0110,D/ICT/25/0120,Student_0110,Male,41,D005,2,3,3.1696,2.915,2.929,94,No,Yes,Eligible,0,Completed,Medium Risk
S0111,D/ICT/25/0121,Student_0111,Male,41,D005,2,3,3.2652,3.615,3.5,89,No,Yes,Eligible,0,Completed,Low Risk
S0112,D/BCS/25/0122,Student_0112,Male,42,D002,1,1,2.2429,0.0,2.2429,97,No,Yes,Eligible,1,Not Completed,Medium Risk
S0113,D/BSE/25/0123,Student_0113,Male,40,D001,3,6,3.928,3.6923,3.8264,92,No,Yes,Eligible,0,Completed,Low Risk
S0114,D/COE/25/0124,Student_0114,Female,40,D003,3,5,3.4222,3.5263,3.5038,93,No,Yes,Eligible,0,Completed,Low Risk
S0115,D/COE/25/0125,Student_0115,Male,41,D003,2,3,1.8105,2.715,2.325,78,Yes,Yes,Eligible,2,Not Completed,High Risk
S0116,D/ICT/25/0126,Student_0116,Male,41,D005,2,4,3.9409,3.7826,3.8905,97,No,Yes,Eligible,0,Completed,Low Risk
S0117,D/DBA/25/0127,Student_0117,Female,40,D004,3,5,3.4211,3.4357,3.1393,67,Yes,Yes,Eligible,0,Completed,Low Risk
S0118,D/ICT/25/0128,Student_0118,Male,40,D005,3,5,2.87,3.4364,3.0529,80,No,Yes,Eligible,0,Completed,Low Risk
S0119,D/BSE/25/0129,Student_0119,Male,42,D001,1,2,3.1722,3.0286,3.0949,80,No,Yes,Eligible,0,Completed,Low Risk
S0120,D/DBA/25/0130,Student_0120,Male,41,D004,2,4,3.8571,3.8833,3.9369,78,No,Yes,Not Eligible,0,Completed,Low Risk
S0121,D/BCS/25/0131,Student_0121,Female,42,D002,1,2,2.5944,2.3,2.4359,90,No,Yes,Eligible,0,Completed,Medium Risk
S0122,D/BSE/25/0132,Student_0122,Female,42,D001,1,1,3.5762,0.0,3.5762,81,No,Yes,Eligible,0,Completed,Low Risk
S0123,D/BSE/25/0133,Student_0123,Male,41,D001,2,3,3.64,3.3889,3.5373,72,No,Yes,Not Eligible,0,Completed,Low Risk
S0124,D/BSE/25/0134,Student_0124,Male,42,D001,1,1,3.9714,0.0,3.9714,72,Yes,Yes,Eligible,0,Completed,Low Risk
S0125,D/BSE/25/0135,Student_0125,Male,42,D001,1,2,3.9667,3.7524,3.8513,96,No,Yes,Eligible,0,Completed,Low Risk
S0126,D/ICT/25/0136,Student_0126,Male,42,D005,1,1,4.0,0.0,4.0,70,No,Yes,Not Eligible,0,Completed,Low Risk
S0127,D/COE/25/0137,Student_0127,Male,42,D003,1,2,3.94,3.9143,3.9268,79,No,Yes,Not Eligible,0,Completed,Low Risk
S0128,D/BCS/25/0138,Student_0128,Male,42,D002,1,2,3.3889,3.2381,3.3077,100,No,Yes,Eligible,0,Completed,Low Risk
S0129,D/ICT/25/0139,Student_0129,Male,40,D005,3,6,4.0,3.46,3.3536,78,No,Yes,Not Eligible,0,Completed,Low Risk
S0130,D/BSE/25/0140,Student_0130,Female,41,D001,2,3,3.65,3.8444,3.7102,69,No,Yes,Not Eligible,0,Completed,Low Risk
S0131,D/BSE/25/0141,Student_0131,Male,41,D001,2,3,2.8,2.8222,2.8763,78,No,Yes,Not Eligible,0,Completed,Medium Risk
S0132,D/ICT/25/0142,Student_0132,Female,40,D005,3,6,4.0,4.0,3.8436,84,No,Yes,Eligible,0,Completed,Low Risk
S0133,D/ICT/25/0143,Student_0133,Male,41,D005,2,4,3.5045,3.8522,3.7405,74,Yes,Yes,Eligible,0,Completed,Low Risk
S0134,D/BSE/25/0144,Student_0134,Male,42,D001,1,2,2.7722,2.7333,2.7513,83,No,Yes,Eligible,1,Not Completed,Medium Risk
S0135,D/BCS/25/0145,Student_0135,Male,42,D002,1,1,3.2571,0.0,3.2571,85,No,Yes,Eligible,0,Completed,Low Risk
S0136,D/BCS/25/0146,Student_0136,Female,40,D002,3,5,3.6,3.5579,3.6183,85,No,Yes,Eligible,0,Completed,Low Risk
S0137,D/COE/25/0147,Student_0137,Male,42,D003,1,1,3.0286,0.0,3.0286,89,No,Yes,Eligible,0,Completed,Low Risk
S0138,D/BSE/25/0148,Student_0138,Male,42,D001,1,1,3.3095,0.0,3.3095,78,No,Yes,Not Eligible,0,Completed,Low Risk
S0139,D/BCS/25/0149,Student_0139,Male,41,D002,2,4,3.2842,2.57,3.0487,84,No,Yes,Eligible,0,Completed,Low Risk
S0140,D/BSE/25/0150,Student_0140,Male,42,D001,1,1,3.7095,0.0,3.7095,85,No,Yes,Eligible,0,Completed,Low Risk
S0141,D/BSE/25/0151,Student_0141,Male,42,D001,1,2,4.0,3.9286,3.9615,88,No,Yes,Eligible,0,Completed,Low Risk
S0142,D/ICT/25/0152,Student_0142,Male,39,D005,4,8,3.8133,3.4292,3.5872,100,No,Yes,Eligible,0,Completed,Low Risk
S0143,D/COE/25/0153,Student_0143,Male,41,D003,2,3,3.6211,3.97,3.7083,99,No,Yes,Eligible,0,Completed,Low Risk
S0144,D/BCS/25/0154,Student_0144,Female,41,D002,2,3,3.26,3.7444,3.6119,92,No,Yes,Eligible,0,Completed,Low Risk
S0145,D/COE/25/0155,Student_0145,Female,42,D003,1,1,3.2238,0.0,3.2238,88,No,Yes,Eligible,0,Completed,Low Risk
S0146,D/COE/25/0156,Student_0146,Male,39,D003,4,7,3.6762,3.628,3.4803,92,No,Yes,Eligible,0,Completed,Low Risk
S0147,D/BSE/25/0157,Student_0147,Female,42,D001,1,1,3.5333,0.0,3.5333,84,No,Yes,Eligible,0,Completed,Low Risk
S0148,D/BSE/25/0158,Student_0148,Female,39,D001,4,8,3.7,3.3875,3.4194,84,No,Yes,Eligible,0,Completed,Low Risk
S0149,D/BCS/25/0159,Student_0149,Male,40,D002,3,5,3.1077,3.0474,3.0192,90,No,Yes,Eligible,0,Completed,Low Risk
S0150,D/DBA/25/0160,Student_0150,Male,41,D004,2,3,3.7278,3.7588,3.7275,81,No,Yes,Eligible,0,Completed,Low Risk
S0151,D/ICT/25/0161,Student_0151,Male,40,D005,3,5,3.92,3.8455,3.8606,86,No,Yes,Eligible,0,Completed,Low Risk
S0152,D/BSE/25/0162,Student_0152,Male,42,D001,1,1,2.9381,0.0,2.9381,90,No,Yes,Eligible,0,Completed,Medium Risk
S0153,D/BCS/25/0163,Student_0153,Male,39,D002,4,7,3.3333,3.5192,3.4595,80,No,Yes,Eligible,0,Completed,Low Risk
S0154,D/ICT/25/0164,Student_0154,Female,42,D005,1,2,3.255,3.2684,3.2615,78,Yes,Yes,Eligible,0,Completed,Low Risk
S0155,D/BCS/25/0165,Student_0155,Male,41,D002,2,3,3.11,3.2167,3.0966,85,No,Yes,Eligible,0,Completed,Low Risk
S0156,D/BCS/25/0166,Student_0156,Male,40,D002,3,6,3.6423,3.6154,3.6762,92,No,Yes,Eligible,0,Completed,Low Risk
S0157,D/DBA/25/0167,Student_0157,Female,42,D004,1,2,3.7588,3.75,3.7545,84,No,No,Not Eligible,0,Completed,Low Risk
S0158,D/BSE/25/0168,Student_0158,Female,41,D001,2,3,2.55,3.0333,2.6407,74,No,Yes,Not Eligible,0,Completed,Medium Risk
S0159,D/BSE/25/0169,Student_0159,Female,39,D001,4,8,3.0,3.2875,3.2288,83,No,Yes,Eligible,0,Completed,Low Risk
S0160,D/DBA/25/0170,Student_0160,Male,40,D004,3,5,2.5632,2.4857,2.6821,87,No,Yes,Eligible,1,Not Completed,Medium Risk
S0161,D/ICT/25/0171,Student_0161,Male,42,D005,1,2,3.4,3.6632,3.5282,86,No,Yes,Eligible,0,Completed,Low Risk
S0162,D/BSE/25/0172,Student_0162,Male,41,D001,2,4,3.3684,3.44,3.3115,95,No,No,Not Eligible,0,Completed,Low Risk
S0163,D/BCS/25/0173,Student_0163,Male,42,D002,1,1,2.5238,0.0,2.5238,94,No,Yes,Eligible,0,Completed,Medium Risk
S0164,D/ICT/25/0174,Student_0164,Female,42,D005,1,1,3.8474,0.0,3.8474,78,No,Yes,Not Eligible,0,Completed,Low Risk
S0165,D/COE/25/0175,Student_0165,Male,40,D003,3,6,3.004,2.5148,2.8435,90,No,Yes,Eligible,0,Completed,Medium Risk
S0166,D/BSE/25/0176,Student_0166,Male,42,D001,1,1,3.3524,0.0,3.3524,90,No,Yes,Eligible,0,Completed,Low Risk
S0167,D/DBA/25/0177,Student_0167,Male,40,D004,3,5,3.1526,2.9,3.0024,93,No,Yes,Eligible,0,Completed,Low Risk
S0168,D/BSE/25/0178,Student_0168,Female,39,D001,4,8,4.0,3.8375,3.7719,85,No,Yes,Eligible,1,Not Completed,Low Risk
S0169,D/COE/25/0179,Student_0169,Male,40,D003,3,6,3.472,3.6148,3.6153,89,No,Yes,Eligible,0,Completed,Low Risk
S0170,D/BSE/25/0180,Student_0170,Female,41,D001,2,4,3.9263,3.91,3.8,91,No,Yes,Eligible,0,Completed,Low Risk
S0171,D/DBA/25/0181,Student_0171,Male,42,D004,1,2,4.0,4.0,4.0,80,No,Yes,Eligible,0,Completed,Low Risk
S0172,D/ICT/25/0182,Student_0172,Male,41,D005,2,4,3.1045,3.4391,3.3595,81,No,Yes,Eligible,0,Completed,Low Risk
S0173,D/COE/25/0183,Student_0173,Male,42,D003,1,1,3.9381,0.0,3.9381,84,No,Yes,Eligible,0,Completed,Low Risk
S0174,D/BCS/25/0184,Student_0174,Female,41,D002,2,4,4.0,4.0,3.9808,79,No,Yes,Not Eligible,0,Completed,Low Risk
S0175,D/BSE/25/0185,Student_0175,Male,41,D001,2,3,3.97,3.9333,3.9695,91,No,Yes,Eligible,0,Completed,Low Risk
S0176,D/BSE/25/0186,Student_0176,Female,40,D001,3,6,3.648,3.6154,3.7194,96,No,Yes,Eligible,0,Completed,Low Risk
S0177,D/BSE/25/0187,Student_0177,Male,42,D001,1,1,2.8667,0.0,2.8667,85,No,Yes,Eligible,0,Completed,Medium Risk
S0178,D/BCS/25/0188,Student_0178,Male,41,D002,2,3,3.91,3.9667,3.9356,88,No,Yes,Eligible,0,Completed,Low Risk
S0179,D/BSE/25/0189,Student_0179,Male,41,D001,2,4,3.7105,3.63,3.4885,89,No,Yes,Eligible,0,Completed,Low Risk
S0180,D/BCS/25/0190,Student_0180,Male,39,D002,4,8,2.22,2.9111,2.9926,100,No,Yes,Eligible,0,Completed,Medium Risk
S0181,D/DBA/25/0191,Student_0181,Male,39,D004,4,8,4.0,3.4308,3.4771,85,No,Yes,Eligible,0,Completed,Low Risk
S0182,D/BSE/25/0192,Student_0182,Male,42,D001,1,1,3.7619,0.0,3.7619,82,No,Yes,Eligible,0,Completed,Low Risk
S0183,D/BSE/25/0193,Student_0183,Female,42,D001,1,1,3.5762,0.0,3.5762,88,No,Yes,Eligible,0,Completed,Low Risk
S0184,D/BCS/25/0194,Student_0184,Male,40,D002,3,6,3.9115,3.7692,3.8408,74,Yes,Yes,Eligible,0,Completed,Low Risk
S0185,D/BSE/25/0195,Student_0185,Male,40,D001,3,6,3.756,3.7385,3.7775,79,Yes,Yes,Eligible,0,Completed,Low Risk
S0186,D/BSE/25/0196,Student_0186,Male,40,D001,3,5,3.8231,4.0,3.9279,84,No,Yes,Eligible,0,Completed,Low Risk
S0187,D/BSE/25/0197,Student_0187,Female,42,D001,1,2,3.4,3.2143,3.3,83,No,Yes,Eligible,0,Completed,Low Risk
S0188,D/BCS/25/0198,Student_0188,Female,41,D002,2,3,3.37,4.0,3.5492,79,Yes,Yes,Eligible,0,Completed,Low Risk
